"","Prediction","Actual"
"1",97.0026609072447,179.191614583
"2",20.7193701804055,47.5195216741
"4",159.298065763505,274.006345291
"5",30.1958426488157,52.9357473842
"6",47.7625123716313,61.0020104634
"7",349.910592035791,450.033124066
"8",31.1516780731638,111.997436472
"12",1039.00359768178,1282.56619581
"15",45.5954287663548,53.1034977578
"22",418.385840550114,261.878318386
"23",501.350184178506,568.567518685
"24",523.276149924157,342.844693572
"25",1412.29833619634,796.803139013
"26",145.127055608971,118.786898356
"27",114.189483297718,161.158430493
"30",28.5743581323301,167.996569507
"31",61.525538285553,65.0890284006
"32",28.1177751209943,22.7357025411
"33",28.5007788295636,44.9108221226
"35",381.706146910367,309.443565022
"36",25.7061095784202,43.4176532138
"41",32.9826348588424,287.630022624
"42",33.6834827058876,101.355590433
"44",22.8906681276663,155.976606876
"45",18.577569431574,18.9308893871
"46",311.679175858514,475.049790732
"47",45.6981997728252,126.277473842
"48",765.242562478732,619.244110613
"51",58.9324449804052,17.2024962631
"52",425.803039734716,177.284641256
"53",226.984679331856,222.729394619
"54",1112.78636986582,839.876487294
"55",1534.31593395362,1799.80193572
"57",26.4712277357614,89.2953064275
"58",44.2060719397314,11.6657100149
"60",146.671162363933,400.981816143
"62",39.3002165677362,112.037959641
"63",27.8370681338869,90.4008819133
"65",1238.74433231751,700.844282511
"66",502.750630551675,1709.08508221
"69",2452.75746426204,1988.48942451
"70",1132.26272327918,670.494133034
"71",590.802613550011,1304.999858
"73",519.664831835777,285.16122571
"74",2272.84199647127,1394.47247384
"76",533.344427636394,1001.82097907
"77",378.610874690142,328.732488789
"79",460.021905440617,158.183056801
"81",3853.66166021025,3007.17085949
"82",875.009202997244,1376.55214499
"83",3632.34773302568,1773.79292227
"90",145.260792148111,582.631442451
"91",981.557972613594,731.177698057
"92",900.826256161534,829.821023916
"93",75.8947526938788,176.608594918
"94",823.485344576422,2014.00833333
"95",785.462385029397,641.86935725
"96",233.203525154599,1051.29067265
"100",618.996415541006,914.657324365
"102",2423.58160454185,947.23103139
"103",86.4954276924878,65.1758893871
"105",2687.15936788063,1866.65603886
"111",2682.64059800422,2062.68107623
"112",1488.64932173575,924.926853513
"113",1514.42182918526,1008.93597907
"114",169.749604420242,122.741636771
"119",163.54468068662,175.918893871
"121",139.31166154786,142.570971599
"123",976.862105868373,458.98809417
"124",264.800698597791,229.608609865
"125",528.730013010249,429.350082212
"126",101.274892648255,553.060067265
"127",80.7406739390768,146.302563528
"128",73.3293936202819,366.226522158
"135",742.214067027848,577.947122571
"136",898.780587013477,1169.78792227
"141",175.978356266518,172.367974589
"142",1884.2997093618,852.806599402
"143",730.44262233389,387.035224215
"146",539.608538560546,535.570717489
"147",239.338825735037,275.885478326
"148",2729.58248232592,2197.88035874
"149",3442.89008564925,2802.40853513
"150",158.830854064481,174.186838565
"152",935.798442330875,775.447578475
"157",154.715904400397,38.3893423019
"159",692.565364842305,289.389387145
"162",67.7221425761777,65.4311509716
"164",129.48132364808,170.808886398
"166",1285.23601667352,1308.3219133
"168",458.931399924543,626.721935725
"169",1086.49173514244,909.581621824
"173",391.422576423051,531.910418535
